,,,,,,,,,,,,,,,,,,,,
Course Code,Course Name ,L,T,P,"C
old",C,Name of the Instructor(s),Section,Lecture,Tutorial,Lab,Link for online classes,No of students,Preferred knowledge equivalent to,Minor in,Open to,IMS Status,Course plan,Remarks,Approval (SAPC meeting)
MSE 402,Computational Process Design,3,1,0,,4,Raghavan Ranganathan (I+T),,D,J1,,MSE 402,,"MSE 201, MSE 209",,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,,,,
,Basic Science Elective,,,,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Electives,,,,,,,,,,,,,,,,,,,,
Additional courses BE,,,,,,,,,,,,,,,,,,,,
BE 303,Bionanotechnology – Principles and Applications,3,0,0,,4,Dhiraj Bhatia,,C,,,BE 303,,BE 101 or equivalent,BS Elective,,,,,
BE 304,Introduction to Biomedical Engineering,3,0,0,,4,Karla Mercado-Shekhar,,F,,,BE 304,,BE 101 or equivalent,BS Elective,,,,,
BE 607,Molecular and Cellular Biotechnology,3,0,0,,4,Sharmistha Majumdar,,L,,,BE 607,,Instructor’s consent required for UGs,BS Elective,,,,,
BE 608,Molecular Basis of Neurodegenerative Diseases,3,0,0,,4,Sharad Gupta,,P,,,BE 608,,Instructor’s consent required for UGs,BS Elective,,,,,
BE 610,Molecular Oncology,3,0,0,,4,Umashankar Singh,,E,,,BE 610,,UG level knowledge of cell and molecular biology,BS Elective,,,,,
,,,,,,,,,,,,,,,,,,,,
Additional courses CE,,,,,,,,,,,,,,,,,,,,
CE 601A,"Advanced Geotechnical Engineering (this course has been split into theory CE 601A and  lab CE 601B components, the theory component would be taught this sem, and lab component would be taught next semester)",3,0,0,,4,Ajanta Sachan,,H,,,CE 601,,Undergraduate level soil mechanics,,,,,,
CE 603,Constitutive Models in Soil Mechanics,3,0,0,,4,Amit Prashant,,F,,,CE 603,,ES 221,,,,,,
CE 607,Advanced Structural Analysis,3,0,0,,4,Manish Kumar,,E,,,CE 607,,,,,,,,
CE 627,Slopes and Retaining Structures,3,0,0,,2,Amit Prashant,,,,,CE 627,,,,,,,,
CE 611,Advanced Engineering Hydrology,3,0,0,,4,Vimal Mishra,,F,,,CE 611,,,,,,,,
ES 621,Adv. Solid Mechanics,3,0,0,,4,Ashwini Kumar,,F,,,ES 621,,"Open to PG students. Consent of the instructor for UG students
",,,,,,
CE 622,Structural Dynamics,3,0,0,,4,Dhiman Basu,,Tuesday and Friday: 5~7pm,,,CE 622,,Theory of Structures ; Advanced engineering mathematics; and programming skills,,,,,,
